number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5175202156334232,2026-03-31 12:35:12.592943,2026-03-31 12:35:14.386412,0 days 00:00:01.793469,entropy,29,sqrt,5,12,250,COMPLETE
1,0.510752688172043,2026-03-31 12:35:14.386531,2026-03-31 12:35:16.324781,0 days 00:00:01.938250,entropy,23,sqrt,8,2,341,COMPLETE
2,0.5144429160935351,2026-03-31 12:35:16.324858,2026-03-31 12:35:17.592622,0 days 00:00:01.267764,entropy,18,sqrt,3,8,222,COMPLETE
3,0.5077720207253886,2026-03-31 12:35:17.592677,2026-03-31 12:35:19.323283,0 days 00:00:01.730606,gini,25,sqrt,5,4,282,COMPLETE
4,0.5178335535006605,2026-03-31 12:35:19.323341,2026-03-31 12:35:20.232134,0 days 00:00:00.908793,gini,29,sqrt,7,15,126,COMPLETE
5,0.49122807017543857,2026-03-31 12:35:20.232200,2026-03-31 12:35:20.933985,0 days 00:00:00.701785,entropy,17,log2,8,2,148,COMPLETE
6,0.4609571788413098,2026-03-31 12:35:20.934050,2026-03-31 12:35:22.418660,0 days 00:00:01.484610,entropy,9,sqrt,7,15,319,COMPLETE
7,0.44636251541307026,2026-03-31 12:35:22.418785,2026-03-31 12:35:23.116512,0 days 00:00:00.697727,gini,10,sqrt,3,2,135,COMPLETE
8,0.524300441826215,2026-03-31 12:35:23.116576,2026-03-31 12:35:24.108967,0 days 00:00:00.992391,gini,19,log2,7,3,212,COMPLETE
9,0.5046235138705416,2026-03-31 12:35:24.109025,2026-03-31 12:35:24.859725,0 days 00:00:00.750700,gini,26,sqrt,6,11,102,COMPLETE
